trial,original_ns,tco_ns,method2_ns,iterative_ns
229,9519678,9848180,8541673,7115266
230,9210552,9341911,8435575,6902654
231,9572857,9721613,8579174,7068909
232,9301024,9429831,8428387,6972968
233,9442488,9653589,8777724,7262198
234,8987367,9107632,8383021,6881403
235,9818387,10068553,8741212,7298918
236,9384205,9629838,8923770,7393765
237,9492230,9621297,8428440,6965937
238,10016051,10252153,8730847,7367359
239,9231490,11543660,8437815,6957551
240,9412487,9571868,8496932,7122974
241,9293888,9670569,8421303,6946041
242,9733072,10005582,8895280,7484654
243,8989856,9115528,8435451,6853989
244,9860657,10129157,8882081,7484376
245,9516166,9661171,8560404,7048319
246,10213222,10412135,8691346,7292859
247,9077974,9182197,8124138,6714246
248,9197406,9303243,8313207,6844094
249,9445591,9708256,8703742,7250462
250,9637733,9810500,8594363,7131500
251,9540594,9671641,8473734,7000297
252,9393923,9596013,8653740,7196710
253,9433716,9573668,8505506,7027538
254,9786072,10072280,8743379,7347653
255,9519291,9779874,8940209,7353434
256,10117959,10439011,8984585,7646674
257,9244490,9403297,8448316,6986338
258,9947328,10118323,8779890,7256764
259,9560230,10164106,8790099,7191970
260,9835188,11157734,8580300,7195303
261,9670442,9855345,8501339,7130145
262,9848418,10158689,8991721,7628856
263,9749382,9909908,8415171,7016011
264,9252439,9416558,8471424,7068982
265,9124466,9346557,8618720,7048564
266,9857771,10112051,8530019,7100493
267,9551303,9668391,8479132,7027991
268,9108684,9233480,8350326,6957416
269,9602242,9920743,8493872,7096587
270,9552345,9754904,8611792,7146849
271,10755041,11162137,9504531,8103599
272,9340827,9545782,8742787,7250082
273,9464060,9656411,8479705,6966062
274,9555313,9783655,8613563,7094503
275,9504635,9738600,8282146,6865329
276,9501354,9844646,8768048,7335137
277,9656931,9809436,8695962,7137057
278,9719277,9937565,8598095,7196642
279,9356401,9544428,8433974,6979500
280,10199762,9993713,8466215,7064711
281,9204104,9281451,8415068,6873767
282,9824541,10079081,8836904,7343299
283,9546856,9682017,8649798,7257567
284,9518001,9720351,8709955,7220535
285,9177834,9258045,8402237,6796407
286,10055830,10291410,8801885,7270953
287,9806812,9990880,8605994,7185429
288,10156197,10449123,8944129,7523356
289,9755769,9875251,8521824,7115271
290,9575555,9659829,8378799,6960370
291,9790092,10051194,8676726,7232566
292,9055175,9223200,8586722,7078759
293,9800822,9949525,8513335,7136365
294,9581337,9710038,8304526,6915577
295,9814260,9990099,8863918,7462261
296,9329454,9473364,8455781,6973287
297,9121843,9255233,8474167,6909639
298,9744987,9954421,8584743,9618890
299,9313099,9410290,8484688,6970839
300,10043902,10463238,9398049,7896649
301,9658786,9811708,8426770,7048811
302,9411748,9577430,8335709,6943169
303,9288445,9443658,8661968,7111091
304,8986821,9087189,8282479,6873063
305,9789032,10009507,8821191,7350525
306,10209148,10432019,8939112,7541832
307,9494284,9608819,8404669,7028535
308,10952712,11398297,9606162,8147682
309,9370947,9488346,8321803,6840041
310,9713092,9916327,8614675,7098954
311,9614079,9817679,8608686,7193853
312,10253838,10630879,9300164,7852987
313,9516836,9691009,8512328,7027859
314,9579443,9770178,8780149,7315993
315,9423188,9628767,8545350,7109737
316,9478086,9677779,8555820,7241979
317,10033154,10657286,8585195,7216146
318,9662206,12043420,8675354,7212656
319,10149720,10137740,8935154,7392088
320,9396626,9649497,9154847,7437819
321,9930703,10195450,8594415,7186040
322,9473229,9756618,8409498,7035867
323,9600052,9974853,8665182,7922089
324,9800682,10004020,8871646,7359209
325,9912091,9926258,8520231,7043472
326,10071210,10304081,9007639,8224753
327,9172904,9406713,8276370,6910135
328,9862038,10143087,8892636,7462441
329,9721773,10060167,8691641,7268791
330,10019177,10274132,8612628,7304208
331,9481662,9866569,8584346,7110557
332,9956519,10460804,8847479,7456296
333,10502628,9776045,8735757,7281812
334,9499058,9633802,8969826,6969980
335,9720835,9824120,9038994,7301499
336,9270511,9592968,8584867,7139620
337,9068578,9183998,8457468,6884144
338,10170015,10443042,8887376,7548590
339,9593281,9834224,8475854,7105087
340,10100898,10087200,8767894,7203164
341,9016598,9030504,8264749,6760223
342,9176274,9322788,8765586,7069866
343,9362790,9424613,8496518,7265184
344,8912101,9006270,8355368,6849080
345,10063275,10280677,8966061,7458783
346,9206588,9367686,8615844,7055856
347,8977884,9085282,8328961,6756890
348,9129710,9245912,8365837,6807985
349,9598628,9757331,8487350,7027209
350,9856656,9984368,8313544,6995333
351,8900694,8987571,8240990,6638501
352,9975617,10380732,9347320,7941243
353,9141221,9362321,8220521,6745327
354,10401045,10758293,8901111,7531702
355,9817436,10009056,8711158,7246069
356,9675505,9790873,8534800,7051116
357,10600268,10146559,8715950,8925174
358,9830093,10039837,8774181,7406698
359,9506022,9608629,8474330,6961999
360,9494876,9723320,8678136,7264299
361,9742643,9905407,8385251,7014073
362,9188812,9264439,8065348,6663232
363,9151884,9253969,8386501,6826568
364,10240556,10383684,8821512,7438302
365,9570592,9820806,8703384,7176889
366,10221650,10586189,9001099,7537679
367,9341263,9456891,8210039,6850996
368,9165426,9388660,8472545,7074595
369,9547988,9663667,8437492,7022563
370,9834244,10125761,8737603,7310122
371,10490718,10859269,9099904,7669505
372,9700231,9957059,8775573,7302518
373,9913882,10123730,8817293,7345487
374,9608301,9736898,8328114,7054022
375,9058600,9211677,8546192,6949488
376,9488350,9618562,8425825,7020531
377,9122873,9325170,10401341,7176368
378,9224021,9336784,8385303,7118346
379,9026829,9083549,8131860,6689586
380,9534081,9724554,8452440,7039386
381,9977685,10184037,8537743,7154742
382,9861939,10107933,8793529,7341257
383,9603964,9712403,8302060,6927445
384,9523858,9738914,8672068,7205213
385,9246612,9385730,8335811,6916248
386,9583182,9703757,8493367,7012240
387,9453648,9562817,8244038,6854580
388,9786311,9866053,8433105,7120523
389,9484690,9630892,8326175,6933592
390,9061608,9201455,8210444,6764995
391,10837064,11250875,9422241,7989449
392,9599016,9738186,8357686,6994323
393,10008088,10366794,9047753,7517147
394,10491327,11053892,9700164,8263205
395,9841312,10064027,8862750,7487875
396,9219840,9325103,8339353,6863903
397,9913606,11760001,8493574,7167035
398,10328147,10623362,9023638,7584544
399,9245101,9434481,8681808,7194222
400,9836469,9939909,8537221,7090418
401,9722706,9958698,8666951,7231766
402,9691244,9919322,8705077,7269631
403,9355039,9557127,8477834,7105305
404,9130607,9221442,8152254,6702536
405,9868539,10127295,8702733,7283798
406,9760725,10052502,8805184,7449843
407,9351028,9486864,8511063,7004677
408,9984531,10258547,9016751,7558544
409,9480407,9685723,8646952,7187546
410,9624941,9779267,8439290,7098325
411,10183129,10570168,8991229,7610889
412,9255975,9403634,8460489,13386581
413,17715995,12185671,10708765,10720485
414,12558752,15337559,16112732,7295882
415,9550668,9706818,8717213,7286246
416,9304257,9432436,8487001,6972072
417,10041043,10290683,8881748,7466874
418,9169879,9261965,8317778,6829778
419,9252068,9578793,8669649,7231808
420,9152887,9232264,8234745,6794873
421,9254973,9377007,8312350,6915083
422,9463311,9591333,8413602,6959564
423,9237577,9390444,8524385,7044929
424,9421643,9626334,8654961,7232589
425,10146918,10457340,8945904,7567596
426,9962017,10199314,8927050,7493636
427,9838265,10123792,8727411,7302175
428,9804983,9937955,8626106,7258788
429,9639981,9802275,8714025,7194776
430,8966634,9113981,8299902,6828102
431,9865974,10124157,8683451,7261288
432,8809755,8960384,8277453,6683985
433,10020509,10295931,8871684,7472282
434,9472112,9588521,8575636,6989199
435,9334193,9419924,10289160,6837321
436,10754846,11016205,8960436,7628327
437,9939101,10099364,8679857,7239621
438,9652116,9843683,8648659,7219464
439,9154606,9348036,8569949,7094921
440,9210637,9443402,8499896,7027004
441,9743824,9944089,8500208,7888218
442,9322098,9654969,8821152,7306123
443,9769607,10031903,9146678,7646234
444,9368296,9509654,8583439,7039817
445,9986798,10230708,8661618,7262321
