variant,pattern,n,max_run_len,iter,comparisons,time_ns
vanilla,random_mixed_runs,5000,8,15,51923,155108
vanilla,random_mixed_runs,5000,8,16,51773,153036
vanilla,random_mixed_runs,5000,8,17,51898,155781
vanilla,random_mixed_runs,5000,8,18,51960,165478
vanilla,random_mixed_runs,5000,8,19,51496,171044
vanilla,random_mixed_runs,5000,8,20,51812,159605
vanilla,random_mixed_runs,5000,8,21,51711,156287
vanilla,random_mixed_runs,5000,8,22,51960,164288
vanilla,random_mixed_runs,5000,8,23,51789,181029
vanilla,random_mixed_runs,5000,8,24,51809,170835
vanilla,random_mixed_runs,5000,8,25,51815,175364
vanilla,random_mixed_runs,5000,8,26,51505,160696
vanilla,random_mixed_runs,5000,8,27,51800,175144
vanilla,random_mixed_runs,5000,8,28,51828,175651
vanilla,random_mixed_runs,5000,8,29,51671,174307
runs,random_mixed_runs,5000,8,0,49649,162360
runs,random_mixed_runs,5000,8,1,50145,141728
runs,random_mixed_runs,5000,8,2,49745,140043
runs,random_mixed_runs,5000,8,3,49569,139745
runs,random_mixed_runs,5000,8,4,49459,139834
runs,random_mixed_runs,5000,8,5,49397,141122
runs,random_mixed_runs,5000,8,6,49774,141817
runs,random_mixed_runs,5000,8,7,50111,143437
runs,random_mixed_runs,5000,8,8,49699,140384
runs,random_mixed_runs,5000,8,9,49744,139624
runs,random_mixed_runs,5000,8,10,50041,140549
runs,random_mixed_runs,5000,8,11,49642,138544
runs,random_mixed_runs,5000,8,12,49359,137971
runs,random_mixed_runs,5000,8,13,49770,151350
runs,random_mixed_runs,5000,8,14,49726,138279
runs,random_mixed_runs,5000,8,15,50047,125076
runs,random_mixed_runs,5000,8,16,49591,120679
runs,random_mixed_runs,5000,8,17,50208,124437
runs,random_mixed_runs,5000,8,18,49940,122144
runs,random_mixed_runs,5000,8,19,49666,120590
runs,random_mixed_runs,5000,8,20,50057,121186
runs,random_mixed_runs,5000,8,21,49950,122189
runs,random_mixed_runs,5000,8,22,50193,122916
runs,random_mixed_runs,5000,8,23,49892,121340
runs,random_mixed_runs,5000,8,24,49914,122200
runs,random_mixed_runs,5000,8,25,50013,123864
runs,random_mixed_runs,5000,8,26,49445,119444
runs,random_mixed_runs,5000,8,27,49576,120238
runs,random_mixed_runs,5000,8,28,49823,155524
runs,random_mixed_runs,5000,8,29,49604,180743
vanilla,full_random,10000,8,0,120915,561690
vanilla,full_random,10000,8,1,120959,613621
vanilla,full_random,10000,8,2,121027,770845
vanilla,full_random,10000,8,3,121015,631089
vanilla,full_random,10000,8,4,121095,570199
vanilla,full_random,10000,8,5,120989,613907
vanilla,full_random,10000,8,6,120947,568425
