variant,pattern,n,max_run_len,iter,comparisons,time_ns
vanilla,full_random,10000,64,26,120929,582223
vanilla,full_random,10000,64,27,120961,573946
vanilla,full_random,10000,64,28,120971,570529
vanilla,full_random,10000,64,29,120951,580801
runs,full_random,10000,64,0,127740,584482
runs,full_random,10000,64,1,127730,584989
runs,full_random,10000,64,2,127947,587645
runs,full_random,10000,64,3,127804,617787
runs,full_random,10000,64,4,127989,583182
runs,full_random,10000,64,5,127837,590235
runs,full_random,10000,64,6,127777,593827
runs,full_random,10000,64,7,127870,606799
runs,full_random,10000,64,8,127818,657804
runs,full_random,10000,64,9,127885,670346
runs,full_random,10000,64,10,127828,597189
runs,full_random,10000,64,11,127854,575699
runs,full_random,10000,64,12,127736,2613602
runs,full_random,10000,64,13,127711,684166
runs,full_random,10000,64,14,127746,673655
runs,full_random,10000,64,15,127962,945444
runs,full_random,10000,64,16,127951,772482
runs,full_random,10000,64,17,127826,666719
runs,full_random,10000,64,18,127836,631210
runs,full_random,10000,64,19,127984,651323
runs,full_random,10000,64,20,127865,643246
runs,full_random,10000,64,21,127732,640237
runs,full_random,10000,64,22,127866,685621
runs,full_random,10000,64,23,127831,633877
runs,full_random,10000,64,24,127821,650651
runs,full_random,10000,64,25,127937,636314
runs,full_random,10000,64,26,127739,639962
runs,full_random,10000,64,27,127770,661176
runs,full_random,10000,64,28,127664,633481
runs,full_random,10000,64,29,127802,631034
vanilla,random_asc_runs,10000,64,0,101587,208085
vanilla,random_asc_runs,10000,64,1,100625,190176
vanilla,random_asc_runs,10000,64,2,101014,199137
vanilla,random_asc_runs,10000,64,3,100865,230513
vanilla,random_asc_runs,10000,64,4,100841,226347
vanilla,random_asc_runs,10000,64,5,101136,229929
vanilla,random_asc_runs,10000,64,6,100279,219955
vanilla,random_asc_runs,10000,64,7,100636,215282
vanilla,random_asc_runs,10000,64,8,100487,212913
vanilla,random_asc_runs,10000,64,9,101451,240343
vanilla,random_asc_runs,10000,64,10,101355,226248
vanilla,random_asc_runs,10000,64,11,101049,235384
vanilla,random_asc_runs,10000,64,12,101342,221530
vanilla,random_asc_runs,10000,64,13,101948,206433
vanilla,random_asc_runs,10000,64,14,101084,206675
vanilla,random_asc_runs,10000,64,15,100960,204327
vanilla,random_asc_runs,10000,64,16,101479,239694
vanilla,random_asc_runs,10000,64,17,101141,221928
vanilla,random_asc_runs,10000,64,18,101415,241942
vanilla,random_asc_runs,10000,64,19,100501,227934
vanilla,random_asc_runs,10000,64,20,101344,237446
vanilla,random_asc_runs,10000,64,21,100802,245997
vanilla,random_asc_runs,10000,64,22,101752,229389
vanilla,random_asc_runs,10000,64,23,100216,262485
vanilla,random_asc_runs,10000,64,24,101154,309742
vanilla,random_asc_runs,10000,64,25,101214,269847
vanilla,random_asc_runs,10000,64,26,100639,212748
vanilla,random_asc_runs,10000,64,27,101222,209750
vanilla,random_asc_runs,10000,64,28,101632,210532
vanilla,random_asc_runs,10000,64,29,100240,208306
runs,random_asc_runs,10000,64,0,76592,138510
runs,random_asc_runs,10000,64,1,75380,138356
runs,random_asc_runs,10000,64,2,76933,139855
runs,random_asc_runs,10000,64,3,75776,137728
runs,random_asc_runs,10000,64,4,75810,137915
runs,random_asc_runs,10000,64,5,76214,134907
runs,random_asc_runs,10000,64,6,76006,115984
